OBJECTID,Bus Stop ID,Stop Number,LTAR,Location,Accessible,Bus PadID,FDMID,Feature Code,Source Date,Source Accuracy,Add Date,Modified Date,Bus Stop Status,Source Date,Plowed by HRM,Winter Maintenance Zone,Winter Maintenance Route,Winter Maintenance Level of Service,Winter Treatment Material,Winter Maintenance Comments,GLOBALID,Winter Maintenance Add Date,Winter Maintenance Modified Date,Date Last Inspected,x,y
65,BS1043,7216,Y,Bluewater Rd After Command Ct (7216),N,CPD1414,100001564,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ3,,PRI2,,STAND ALONE,66783820-509c-44fe-aeb6-f6f914ca1178,2/22/2017 12:00:00 AM,10/1/2019 12:00:00 AM,,-7092389.9944,5577808.3478
66,BS3475,2222,Y,Hornes Rd At Civic 42 (2222),N,CPD3005,200002073,TRBSAC,TRANSIT,XY,10/21/2021 3:12:49 PM,10/17/2024 10:35:05 AM,INS,10/19/2021 12:00:00 AM,Y,WSZ1,,PRI2,,STAND ALONE,9f03ce5a-7f67-4e79-8ec9-5539ef44a0b9,11/22/2021 12:00:00 AM,6/1/2022 12:00:00 AM,,-7066973.6314,5561304.2631
67,BS929,6935,Y,Hillsboro Dr Before Barbara Dr (6935),A,CPD1160,200000030,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,WSZ1,,PRI2,,,a018b597-ffd5-4519-840e-b9886d11ad4c,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2014 12:00:00 AM,-7067986.6431,5573817.0883
68,BS2009,6074,Y,Auburn Dr After Auburn Ct (6074),A,CPD2088,200001927,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,1/18/2017 12:00:00 AM,Y,WSZ1,,PRI2,,STAND ALONE,b31d7143-ad97-4d65-aa52-7469fb7f0a6a,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2015 12:00:00 AM,-7067503.1726,5573374.495
70,BS168,7129,Y,Windmill Rd After Mott St (7129),A,CPD25,200000336,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,HRM2,R2,PRI2,,,cd122e7d-8675-4b87-afae-f262ce4ae686,2/22/2017 12:00:00 AM,9/4/2019 12:00:00 AM,,-7077511.9037,5569348.8514
71,BS2454,6860,Y,Herring Cove Rd After Glenora Ave (6860),A,CPD388,300003415,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,WSZ4,,PRI2,,SHELTER,a861d5dd-b2ff-4744-98db-f20911d26a00,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2014 12:00:00 AM,-7081759.3501,5563186.1812
73,BS3194,2119,Y,Beaver Bank Cross Rd At Civic 190 (2119),A,CPD2803,100002242,TRBSAC,TRANSIT,DV,10/7/2019 12:00:00 AM,7/11/2023 2:30:44 PM,INS,8/23/2019 12:00:00 AM,Y,WSZ2,,PRI2,,,1ed3529c-4a30-4431-a379-ff3ac12f7016,10/10/2019 12:00:00 AM,10/28/2019 12:00:00 AM,1/1/2019 12:00:00 AM,-7091417.69,5588157.0232
75,BS1901,8104,Y,Purcells Cove Rd After Battery Dr (8104),N,CPD343,700011116,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,WSZ4,,PRI2,,SHELTER - STAND ALONE,2fe98ce6-bcad-43ae-9f8e-f19a499b6235,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2014 12:00:00 AM,-7076426.6513,5560153.5789
76,BS185,6693,Y,First Lake Dr Opposite Civic 200 (6693),A,CPD735,100000657,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,WSZ2,,PRI2,,,14fb417c-62ab-4a63-a676-186ebbdf2b9b,2/22/2017 12:00:00 AM,,1/1/2015 12:00:00 AM,-7087056.3255,5586394.8942
77,BS3480,2245,Y,Sherwood St After Carlisle Dr (2245),N,CPD3011,200001184,TRBSAC,TRANSIT,XY,10/21/2021 3:12:49 PM,7/11/2023 11:33:03 AM,INS,10/19/2021 12:00:00 AM,Y,WSZ1,,PRI2,,STAND ALONE,0643659c-78fb-4b14-9b8e-4ed31cd02619,11/22/2021 12:00:00 AM,6/1/2022 12:00:00 AM,,-7066144.7425,5566297.8454
